SUBDIVISION,count,mean,std,min,25%,50%,75%,max
Andaman & Nicobar Islands,18.0,2933.9166666666665,442.30469302347257,2355.9,2620.75,2870.95,3138.05,3828.0
Arunachal Pradesh,18.0,2488.0611111111116,400.007653072213,1749.9,2248.2,2427.5,2735.7000000000003,3440.3
Assam & Meghalaya,18.0,2363.911111111111,338.8555546661507,1743.4,2185.325,2413.3999999999996,2578.8,2994.3
Bihar,18.0,1096.7555555555557,206.76668073323108,629.2,1037.5,1101.4499999999998,1187.775,1600.2
Chhattisgarh,18.0,1251.6555555555558,205.69760564313884,906.3,1119.3,1284.2,1317.225,1694.3
Coastal Andhra Pradesh,18.0,1041.9000000000003,230.0784520932959,703.2,879.35,1010.0999999999999,1117.25,1712.4
Coastal Karnataka,17.0,3401.0117647058823,456.8273017267479,2619.7,3071.9,3351.3,3837.3,4229.4
East Madhya Pradesh,18.0,1064.0777777777776,233.98511404525556,653.8,940.25,957.8499999999999,1248.925,1521.9
East Rajasthan,18.0,626.45,146.75407299688982,285.3,569.85,635.6,692.55,860.6
East Uttar Pradesh,18.0,786.0500000000001,156.63830667383715,602.7,689.875,744.05,928.025,1096.4
Gangetic West Bengal,18.0,1524.4333333333334,202.66931919058806,1064.8,1444.425,1561.9,1611.2,1941.4
Gujarat Region,18.0,925.4777777777779,263.4060755821604,550.6,707.7750000000001,900.8,1111.125,1478.0
Haryana Delhi & Chandigarh,18.0,460.05555555555543,106.70923231584936,305.5,392.4,440.95000000000005,505.825,710.4
Himachal Pradesh,18.0,1077.211111111111,121.04055173122228,878.5,990.75,1051.45,1203.425,1259.4
Jammu & Kashmir,17.0,1128.5117647058823,260.9501027072823,859.3,944.9,1023.5,1278.9,1692.7
Jharkhand,18.0,1172.1999999999998,185.72670624270677,697.1,1069.2,1178.65,1261.6,1459.5
Kerala,18.0,2786.9277777777775,432.99315006883876,1870.9,2511.675,2848.35,3043.575,3489.6
Konkan & Goa,18.0,3129.0333333333333,505.1079966059675,2082.0,2778.7,3093.1499999999996,3513.55,3825.2
Lakshadweep,18.0,1535.4444444444446,285.6363200299665,1033.5,1397.625,1543.45,1631.825,2361.6
Madhya Maharashtra,18.0,914.4777777777776,191.37916032456602,644.5,775.725,911.5999999999999,1019.225,1395.7
Matathwada,18.0,736.4666666666667,143.5649760663832,526.7,664.85,717.35,843.575,1011.6
Naga Mani Mizo Tripura,18.0,2053.116666666667,333.9599663397501,1557.2,1845.525,1939.65,2281.975,2805.4
North Interior Karnataka,18.0,686.9944444444444,119.13079056834093,473.5,604.75,683.8,752.5,913.5
Orissa,18.0,1419.7666666666667,196.8510933197387,1097.2,1290.775,1376.0500000000002,1609.025,1716.9
Punjab,18.0,491.22222222222223,123.29365021365268,274.7,410.125,472.55,577.95,717.1
Rayalseema,18.0,789.8555555555555,158.4878886529605,551.8,694.9000000000001,752.1500000000001,911.2,1066.4
Saurashtra & Kutch,18.0,585.0166666666667,212.37789640721311,286.1,451.825,602.4,685.1,1119.9
South Interior Karnataka,18.0,1057.0333333333333,182.3159926514144,687.3,952.3499999999999,1111.6,1177.75,1319.3
Sub Himalayan West Bengal & Sikkim,18.0,2580.5,175.7600503360125,2262.1,2443.6749999999997,2618.7,2688.65,2908.0
Tamil Nadu,18.0,870.95,299.8440521141536,318.0,662.55,928.2,1059.8,1365.3
Telangana,18.0,944.7999999999998,198.6302654505128,666.3,777.9,942.75,1050.6,1348.7
Uttarakhand,18.0,1428.6888888888889,258.12741698373077,847.8,1257.55,1393.85,1572.2,1924.3
Vidarbha,18.0,1048.7166666666667,207.46063623790246,731.9,899.6750000000001,1061.9,1166.2,1520.0
West Madhya Pradesh,17.0,923.970588235294,186.16327432090992,684.1,787.0,864.9,1042.3,1396.3
West Rajasthan,18.0,317.7722222222221,101.30409553044649,92.4,266.925,325.70000000000005,384.075,473.2
West Uttar Pradesh,18.0,677.3722222222223,162.56945594586932,389.6,575.05,652.0,775.9,1047.5
